0.000	-0.339	1.000
0.049	0.838	0.999
0.098	0.431	0.995
0.147	-0.352	0.989
0.195	-0.752	0.981
0.243	0.915	0.970
0.290	0.982	0.957
0.337	-0.214	0.942
0.383	0.743	0.924
0.428	0.280	0.904
0.471	0.348	0.882
0.514	0.172	0.858
0.556	-0.334	0.831
0.596	-0.994	0.803
0.634	-0.821	0.773
0.672	0.338	0.741
0.707	0.251	0.707
0.741	-0.430	0.672
0.773	0.303	0.634
0.803	0.233	0.596
0.831	0.075	0.556
0.858	0.010	0.514
0.882	-0.213	0.471
0.904	0.248	0.428
0.924	0.880	0.383
0.942	0.600	0.337
0.957	0.038	0.290
0.970	-0.208	0.243
0.981	0.093	0.195
0.989	0.711	0.147
0.995	-0.763	0.098
0.999	-0.983	0.049
1.000	0.497	0.000
0.999	0.851	-0.049
0.995	0.402	-0.098
0.989	-0.229	-0.147
0.981	-0.445	-0.195
0.970	-0.999	-0.243
0.957	-0.057	-0.290
0.942	-0.946	-0.337
0.924	0.770	-0.383
0.904	0.221	-0.428
0.882	-0.032	-0.471
0.858	-0.235	-0.514
0.831	0.658	-0.556
0.803	0.512	-0.596
0.773	-0.852	-0.634
0.741	0.071	-0.672
0.707	0.063	-0.707
0.672	0.847	-0.741
0.634	0.763	-0.773
0.596	0.896	-0.803
0.556	0.084	-0.831
0.514	-0.552	-0.858
0.471	0.919	-0.882
0.428	-0.115	-0.904
0.383	0.367	-0.924
0.337	-0.399	-0.942
0.290	-0.333	-0.957
0.243	0.740	-0.970
0.195	-0.392	-0.981
0.147	-0.998	-0.989
0.098	-0.899	-0.995
0.049	0.000	-0.999
0.000	0.270	-1.000
-0.049	-0.077	-0.999
-0.098	0.308	-0.995
-0.147	-0.313	-0.989
-0.195	-0.565	-0.981
-0.243	-0.115	-0.970
-0.290	-0.300	-0.957
-0.337	-0.724	-0.942
-0.383	0.407	-0.924
-0.428	0.027	-0.904
-0.471	0.144	-0.882
-0.514	-0.958	-0.858
-0.556	0.859	-0.831
-0.596	-0.754	-0.803
-0.634	0.093	-0.773
-0.672	-0.968	-0.741
-0.707	-0.664	-0.707
-0.741	-0.207	-0.672
-0.773	0.130	-0.634
-0.803	-0.289	-0.596
-0.831	-0.454	-0.556
-0.858	-0.160	-0.514
-0.882	-0.160	-0.471
-0.904	-0.716	-0.428
-0.924	-0.599	-0.383
-0.942	0.741	-0.337
-0.957	-0.408	-0.290
-0.970	0.811	-0.243
-0.981	0.295	-0.195
-0.989	0.729	-0.147
-0.995	-0.764	-0.098
-0.999	-0.864	-0.049
-1.000	0.343	0.000
-0.999	0.366	0.049
-0.995	-0.622	0.098
-0.989	-0.801	0.147
-0.981	-0.190	0.195
-0.970	0.455	0.243
-0.957	-0.082	0.290
-0.942	-0.782	0.337
-0.924	-0.420	0.383
-0.904	0.402	0.428
-0.882	-0.834	0.471
-0.858	0.259	0.514
-0.831	-0.025	0.556
-0.803	0.342	0.596
-0.773	-0.994	0.634
-0.741	-0.300	0.672
-0.707	-0.988	0.707
-0.672	-0.219	0.741
-0.634	0.158	0.773
-0.596	0.274	0.803
-0.556	-0.029	0.831
-0.514	0.318	0.858
-0.471	0.503	0.882
-0.428	0.883	0.904
-0.383	-0.938	0.924
-0.337	-0.010	0.942
-0.290	-0.190	0.957
-0.243	0.772	0.970
-0.195	0.286	0.981
-0.147	-0.319	0.989
-0.098	0.817	0.995
-0.049	-0.691	0.999
